date,genre_key,page_num,workbook_ref,lesson_title,section_code,section_name,group_label,q,a,result,note
2026-06-05 14:43,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑭,俳諧,batsu,
2026-06-05 14:45,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[1],(1),Y,batsu,
2026-06-05 14:47,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[1],(3),（例）独占的に営業を行う特権をもった商人の同業者の組織。,batsu,
2026-06-05 14:48,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(2)B,菱川師宣,batsu,
2026-06-05 14:48,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(3),松尾芭蕉,batsu,
2026-06-05 14:51,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(4),浮世草子,batsu,
2026-06-05 14:51,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B+,資料の活用,[1],(1)①,大阪,batsu,
2026-06-05 14:52,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B+,資料の活用,[1],(1)②,蔵屋敷,batsu,
2026-06-05 14:52,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B+,資料の活用,[1],(2),（例）全国から集まった年貢米や特産物の取り引きが行われていたから。,batsu,理由
2026-06-05 14:53,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑫,井原西鶴,maru,
2026-06-05 14:53,history,2,本誌 P.2・3,大航海によって結びつく世界,A,教科書で確認,[2],⑪,インカ帝国,batsu,
2026-06-06 02:30,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(4),浮世草子,maru,
2026-06-07 01:41,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[1],②,上米の制,batsu,
2026-06-07 01:42,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[1],③,享保の改革,batsu,
2026-06-07 01:42,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[1],④,公事方御定書,batsu,
